Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Batavia Dana Saham;Juli 2018;0,025345;0,019237;1
Reksa Dana Batavia Dana Saham;Agustus 2018;-0,002618;0,009396;1
Reksa Dana Batavia Dana Saham;September 2018;-0,017435;-0,011384;0
Reksa Dana Batavia Dana Saham;Oktober 2018;-0,030628;-0,028666;0
Reksa Dana Batavia Dana Saham;November 2018;0,043617;0,034071;1
Reksa Dana Batavia Dana Saham;Desember 2018;0,005408;0,018429;1
Reksa Dana Batavia Dana Saham;Januari 2019;0,041455;0,050220;1
Reksa Dana Batavia Dana Saham;Februari 2019;-0,025555;-0,018139;0
Reksa Dana Batavia Dana Saham;Maret 2019;0,008010;-0,000477;0
Reksa Dana Batavia Dana Saham;April 2019;0,005814;-0,006494;0
Reksa Dana Batavia Dana Saham;Mei 2019;-0,028494;-0,042564;0
Reksa Dana Batavia Dana Saham;Juni 2019;0,015038;0,019658;1
Reksa Dana Batavia Dana Saham;Juli 2019;0,000396;0,000593;1
Reksa Dana Batavia Dana Saham;Agustus 2019;-0,019342;-0,014129;0
Reksa Dana Batavia Dana Saham;September 2019;-0,040988;-0,029604;0
Reksa Dana Batavia Dana Saham;Oktober 2019;0,000700;0,005179;1
Reksa Dana Batavia Dana Saham;November 2019;-0,040317;-0,039180;0
Reksa Dana Batavia Dana Saham;Desember 2019;0,040985;0,043436;1
Reksa Dana Batavia Dana Saham;Januari 2020;-0,057307;-0,061487;0
Reksa Dana Batavia Dana Saham;Februari 2020;-0,073535;-0,086466;0
