waktu,username,text;
2022-02-13 11:55:38+00:00,𝚜𝚝𝚛𝚊𝚠𝙱𝙴𝙻𝙻𝙰🍓,b'Min ga ada list nama aku apa buat dikasih voucher grabfood Lagi pengen makan durian yaAllah Mana harganya mahal lagi huhu';
2022-02-13 11:49:40+00:00,| Miss Azwar | Lifestyle Blogger & Content Creator,b'RT Hello korang Harini boleh datang untuk makan CikMak tau Datang ramai ramai k ThePortMY 4pm 12am Cash';
2022-02-13 11:45:38+00:00,fryshhzrmi,b'RT Hello korang Harini boleh datang untuk makan CikMak tau Datang ramai ramai k ThePortMY 4pm 12am Cash';
2022-02-13 11:45:33+00:00,l i n ,b'daripada tengahari tadi aku duk buka katup foodpanda grabfood ahahahahah nak cookies2 manis2 gitu ahhh guana na';
2022-02-13 11:45:28+00:00,soBigNsoSmol,b'RT Hello korang Harini boleh datang untuk makan CikMak tau Datang ramai ramai k ThePortMY 4pm 12am Cash';
2022-02-13 11:44:24+00:00,K E N || Jasa top up dm ml,b'Keluar rumah bawa uang 50k tapi jajan puas atau GrabFood dirumah aja tapi dapet dikit';
2022-02-13 11:43:44+00:00,Atiqah🇲🇾,b'Tambah tambah food panda mahal gila Guna Grabfood je sekarang ni';
2022-02-13 11:43:42+00:00,haziq.,b'RT Hello korang Harini boleh datang untuk makan CikMak tau Datang ramai ramai k ThePortMY 4pm 12am Cash';
2022-02-13 11:42:40+00:00,Namtarn,b'Nitip Catetan Gabole gofood grabfood Gabole naruh laundry lebih dari 5kg 17 500 minggu Gabole ngabisin';
2022-02-13 11:42:30+00:00,Gasapramudia,b'RT Anak Jaksel kalo ada fitur review resto di GrabFood Jujurly the tofu gejrot itu unch banget Spicy nya tuh pas ga bikin my';
2022-02-13 11:41:29+00:00,Si Paling Grab,b'Anak Jaksel kalo ada fitur review resto di GrabFood Jujurly the tofu gejrot itu unch banget Spicy nya tuh pas';
2022-02-13 11:40:29+00:00,zee,b'kyk knp voucher grabfood gabisa digabungin voucher promo sm voucher freeongnya gt lohh';
2022-02-13 11:39:14+00:00,mANISayang 😼,b'This is the reason eventho aku teringin donut since kelmarin aku tak beli thru food panda or grabfood sebab harga d';
2022-02-13 11:38:56+00:00,kellogg’s ,b'Habis duit kat grabfood je';
2022-02-13 11:38:02+00:00,Anggraeni Mukaromah,b'Sebelumnya udah usaha nyari di go grabfood tapi emang ga nemu';
2022-02-13 11:36:14+00:00,satpam timeline,b'koe nek rak gelem maem ki raksah grabfood jajan teros marakke mama lemu tertanda mamaku sing tambah lemu';
2022-02-13 11:33:56+00:00,Lilis Rusmiati,b'Padahal kadang sehari sampai 3x pakai grabfood mau beli voucher min pembelanjaannya dibatasi coba ga ad';
2022-02-13 11:33:45+00:00,🌧,b'Food delivery platform kan makin bnyk ya gw tiap mau pesen harus ngecekin gofood traveloka eats grabfood shopee';
2022-02-13 11:31:51+00:00,K E N || Jasa top up dm ml,b'Ini lagi mikir sambil milih di GrabFood';
2022-02-13 11:30:20+00:00,aphrodite,b'grabfood adl solusi yg tepat';
2022-02-13 11:30:02+00:00,Kabar Malang,b'RT BEAR BOBBA LOWOKWARU 50 Disc ShopeeFood GrabFood GoFood Boba Brown Sugar 13K BigCup22oz Inf';
2022-02-13 11:29:58+00:00,jaa,b'di grabfood juga kah kakk';
2022-02-13 11:29:32+00:00,ardha,b'minn cek dm Knpa sekarang grabfood jadi banyak yg di luar pengantaran ya padahal jaraknya masih 2 5 kil';
2022-02-13 11:29:13+00:00,Creamiest Boba in Town,b'BEAR BOBBA LOWOKWARU 50 Disc ShopeeFood GrabFood GoFood Boba Brown Sugar 13K BigCup22oz';
2022-02-13 11:29:08+00:00,우유,b'bahagia tu pas lg gada duit trs ngorek2 baju tas trnyata ada akhirnya bisa grabfood';
2022-02-13 11:24:52+00:00,Lilis Rusmiati,b'Grab skrg jd mahal discount ongkir grabfood yg 3k sudah tidak adakah Ada yg 10k tp min pembelian harus 40k';
2022-02-13 11:23:24+00:00,GUIS,b'Guis saran kopi kopian di grabfood dongs daerah jakpus';
2022-02-13 11:19:48+00:00,Jentine,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 11:17:45+00:00,shiema ms,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 11:16:11+00:00,☁️kumo☁️,b'Udh mesen Grabfood ternyata masih hujan';
2022-02-13 11:16:08+00:00,Marugame Udon Indonesia,b'Yuk tag temanmu dan pesan sekarang melalui dine in take away atau bisa juga melalui outlet delivery stop amp go Sh';
2022-02-13 11:16:04+00:00,Zulfan Arita,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 11:15:42+00:00,tahtaarasyi,b'tapi tadi makan dibeliin sama dia dibela belain pake shopeefood grabfood thankyou bojo';
2022-02-13 11:14:11+00:00,ʏᴇᴅᴀᴍ's (っ◔◡◔)っ ♥ ♥,b'Iya kak bener Aku bisa ampe berjam2 bolak balik liat pilihan grabfood atau shopeefood Ujung2nya pal';
2022-02-13 11:12:45+00:00,deen'z 🇮🇩,b'Di kamar jak nder pesan gojek grabfood gitu sabi lah';
2022-02-13 11:10:26+00:00,adi purnomo,b'Syaratnya punya skills amp knowledge yang masih dibutuhin sama banyak orang Kalo di marketing skills Marketing mar';
2022-02-13 11:09:04+00:00,Yanto Atmojo,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 11:08:12+00:00,syahchandg,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki';
2022-02-13 11:07:55+00:00,syahchandg,b'RT Giveaway total Rp 1 juta buat 5 orang pemenang Masing masing dapet voucher GrabFood amp GrabMart Rp200ribu Caranya gampa';
2022-02-13 11:06:55+00:00,nenah sundari,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 11:04:38+00:00,hahahihi,b'hujan awet banget anjir mau grabfood kaga ada driver';
2022-02-13 11:04:27+00:00,minn,b'Feeling gw abang grabfood nya rakit motor dulu sih baru nganter makanan gw';
2022-02-13 11:02:03+00:00,Agum,b'Nyari makanan di grabfood nemu ginian makan malem pake whiskas enak kayaknya';
