Reksa Dana;Bulan;Y;X1;X2
Reksa Dana BNP Paribas Infrastruktur Plus;Mei 2021;-0.01;-0.01;0.00
Reksa Dana BNP Paribas Infrastruktur Plus;Juni 2021;-0.05;0.00;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Juli 2021;0.00;0.01;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Agustus 2021;0.03;0.01;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;September 2021;0.02;0.02;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Oktober 2021;0.03;0.05;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;November 2021;-0.02;-0.01;0.00
Reksa Dana BNP Paribas Infrastruktur Plus;Desember 2021;0.00;0.00;1.00
Reksa Dana BNP Paribas Solaris;Maret 2020;-0.24;-0.17;0.00
Reksa Dana BNP Paribas Solaris;April 2020;0.08;0.04;1.00
Reksa Dana BNP Paribas Solaris;Mei 2020;0.01;0.00;1.00
Reksa Dana BNP Paribas Solaris;Juni 2020;0.08;0.03;1.00
Reksa Dana BNP Paribas Solaris;Juli 2020;0.06;0.05;1.00
Reksa Dana BNP Paribas Solaris;Agustus 2020;0.03;0.18;1.00
Reksa Dana BNP Paribas Solaris;September 2020;-0.11;-0.20;0.00
Reksa Dana BNP Paribas Solaris;Oktober 2020;0.07;0.05;1.00
Reksa Dana BNP Paribas Solaris;November 2020;0.15;0.09;1.00
Reksa Dana BNP Paribas Solaris;Desember 2020;0.16;0.06;1.00
Reksa Dana BNP Paribas Solaris;Januari 2021;-0.03;-0.02;0.00
Reksa Dana BNP Paribas Solaris;Februari 2021;0.07;0.06;1.00
Reksa Dana BNP Paribas Solaris;Maret 2021;-0.12;-0.04;0.00
Reksa Dana BNP Paribas Solaris;April 2021;0.01;0.00;0.00
Reksa Dana BNP Paribas Solaris;Mei 2021;-0.03;-0.01;0.00
Reksa Dana BNP Paribas Solaris;Juni 2021;-0.04;0.00;1.00
Reksa Dana BNP Paribas Solaris;Juli 2021;0.03;0.01;1.00
Reksa Dana BNP Paribas Solaris;Agustus 2021;-0.05;0.01;1.00
Reksa Dana BNP Paribas Solaris;September 2021;0.05;0.02;1.00
Reksa Dana BNP Paribas Solaris;Oktober 2021;0.01;0.05;1.00
Reksa Dana BNP Paribas Solaris;November 2021;-0.03;-0.01;0.00
Reksa Dana BNP Paribas Solaris;Desember 2021;-0.01;0.00;1.00
Reksa Dana BNP Paribas Maxi Saham;Maret 2020;-0.22;-0.17;0.00
Reksa Dana BNP Paribas Maxi Saham;April 2020;0.04;0.04;1.00
Reksa Dana BNP Paribas Maxi Saham;Mei 2020;0.01;0.00;1.00
Reksa Dana BNP Paribas Maxi Saham;Juni 2020;0.05;0.03;1.00
Reksa Dana BNP Paribas Maxi Saham;Juli 2020;0.05;0.05;1.00
Reksa Dana BNP Paribas Maxi Saham;Agustus 2020;0.02;0.18;1.00
Reksa Dana BNP Paribas Maxi Saham;September 2020;-0.12;-0.20;0.00
Reksa Dana BNP Paribas Maxi Saham;Oktober 2020;0.06;0.05;1.00
Reksa Dana BNP Paribas Maxi Saham;November 2020;0.11;0.09;1.00
Reksa Dana BNP Paribas Maxi Saham;Desember 2020;0.06;0.06;1.00
Reksa Dana BNP Paribas Maxi Saham;Januari 2021;-0.04;-0.02;0.00
Reksa Dana BNP Paribas Maxi Saham;Februari 2021;0.02;0.06;1.00
Reksa Dana BNP Paribas Maxi Saham;Maret 2021;-0.05;-0.04;0.00
Reksa Dana BNP Paribas Maxi Saham;April 2021;0.00;0.00;0.00
Reksa Dana BNP Paribas Maxi Saham;Mei 2021;-0.01;-0.01;0.00
Reksa Dana BNP Paribas Maxi Saham;Juni 2021;-0.04;0.00;1.00
Reksa Dana BNP Paribas Maxi Saham;Juli 2021;-0.01;0.01;1.00
Reksa Dana BNP Paribas Maxi Saham;Agustus 2021;0.03;0.01;1.00
Reksa Dana BNP Paribas Maxi Saham;September 2021;0.03;0.02;1.00
Reksa Dana BNP Paribas Maxi Saham;Oktober 2021;0.03;0.05;1.00
Reksa Dana BNP Paribas Maxi Saham;November 2021;-0.03;-0.01;0.00
Reksa Dana BNP Paribas Maxi Saham;Desember 2021;-0.01;0.00;1.00
Reksa Dana BNP Paribas Pesona;Maret 2020;-0.22;-0.17;0.00
Reksa Dana BNP Paribas Pesona;April 2020;0.04;0.04;1.00
Reksa Dana BNP Paribas Pesona;Mei 2020;0.02;0.00;1.00
Reksa Dana BNP Paribas Pesona;Juni 2020;0.05;0.03;1.00
Reksa Dana BNP Paribas Pesona;Juli 2020;0.04;0.05;1.00
Reksa Dana BNP Paribas Pesona;Agustus 2020;0.02;0.18;1.00
Reksa Dana BNP Paribas Pesona;September 2020;-0.10;-0.20;0.00
Reksa Dana BNP Paribas Pesona;Oktober 2020;0.05;0.05;1.00
Reksa Dana BNP Paribas Pesona;November 2020;0.11;0.09;1.00
Reksa Dana BNP Paribas Pesona;Desember 2020;0.06;0.06;1.00
Reksa Dana BNP Paribas Pesona;Januari 2021;-0.03;-0.02;0.00
Reksa Dana BNP Paribas Pesona;Februari 2021;0.03;0.06;1.00
Reksa Dana BNP Paribas Pesona;Maret 2021;-0.05;-0.04;0.00
Reksa Dana BNP Paribas Pesona;April 2021;0.01;0.00;0.00
Reksa Dana BNP Paribas Pesona;Mei 2021;-0.01;-0.01;0.00
Reksa Dana BNP Paribas Pesona;Juni 2021;-0.02;0.00;1.00
Reksa Dana BNP Paribas Pesona;Juli 2021;0.00;0.01;1.00
Reksa Dana BNP Paribas Pesona;Agustus 2021;0.02;0.01;1.00
Reksa Dana BNP Paribas Pesona;September 2021;0.02;0.02;1.00
Reksa Dana BNP Paribas Pesona;Oktober 2021;0.03;0.05;1.00
Reksa Dana BNP Paribas Pesona;November 2021;-0.03;-0.01;0.00
Reksa Dana BNP Paribas Pesona;Desember 2021;0.00;0.00;1.00
Reksa Dana Cipta Gtws Equity;Maret 2020;-0.21;-0.17;0.00
Reksa Dana Cipta Gtws Equity;April 2020;0.05;0.04;1.00
Reksa Dana Cipta Gtws Equity;Mei 2020;0.01;0.00;1.00
Reksa Dana Cipta Gtws Equity;Juni 2020;0.04;0.03;1.00
Reksa Dana Cipta Gtws Equity;Juli 2020;0.05;0.05;1.00
Reksa Dana Cipta Gtws Equity;Agustus 2020;0.02;0.18;1.00
Reksa Dana Cipta Gtws Equity;September 2020;-0.09;-0.20;0.00
Reksa Dana Cipta Gtws Equity;Oktober 2020;0.07;0.05;1.00
Reksa Dana Cipta Gtws Equity;November 2020;0.11;0.09;1.00
Reksa Dana Cipta Gtws Equity;Desember 2020;0.03;0.06;1.00
Reksa Dana Cipta Gtws Equity;Januari 2021;-0.02;-0.02;0.00
Reksa Dana Cipta Gtws Equity;Februari 2021;0.03;0.06;1.00
Reksa Dana Cipta Gtws Equity;Maret 2021;-0.04;-0.04;0.00
