Waktu;Username;Text
2022-02-05 02:46:06+00:00;ay;b'voucher 25k ilang voc gocar ilang buka gofood voucher resto ga ada samsek ini kenapa ya Tolong direspon makasih'
2022-02-05 02:46:06+00:00;ay;b'voucher 25k ilang voc gocar ilang buka gofood voucher resto ga ada samsek ini kenapa ya Tolong direspon makasih'
2022-02-05 02:48:09+00:00;Kopi Chuseyo.;b'RT @k_upofcoffee: \xf0\x9f\x92\x97HAPPY JIHYO DAY\xf0\x9f\x92\x97\n\nAnnyeong chingudeul! bundling cantik Jihyo Twice sudah ready ya di Kopi Chuseyo Cempaka Putih \xf0\x9f\x98\x8d\xf0\x9f\xa5\xb0\n\nAvai\xe2\x80\xa6'
2022-02-05 02:48:09+00:00;Kopi Chuseyo.;b'RT upofcoffee HAPPY JIHYO DAY Annyeong chingudeul bundling cantik Jihyo Twice sudah ready ya di Kopi Chuseyo Cempaka Putih Avai'
2022-02-05 02:48:09+00:00;Kopi Chuseyo.;b'RT upofcoffee HAPPY JIHYO DAY Annyeong chingudeul bundling cantik Jihyo Twice sudah ready ya di Kopi Chuseyo Cempaka Putih Avai'
2022-02-05 02:49:12+00:00;ABCD;b'@summerrrrbreeze @aul112325 Gofood pke ga bitt'
2022-02-05 02:49:12+00:00;ABCD;b'Gofood pke ga bitt'
2022-02-05 02:49:12+00:00;ABCD;b'Gofood pke ga bitt'
2022-02-05 02:49:27+00:00;osce one shot aamiin;b'2 jam kemudian pesen gofood untuk makan siang\xf0\x9f\x99\x8f https://t.co/vw6Ti7SRBO'
2022-02-05 02:49:27+00:00;osce one shot aamiin;b'2 jam kemudian pesen gofood untuk makan siang'
2022-02-05 02:49:27+00:00;osce one shot aamiin;b'2 jam kemudian pesen gofood untuk makan siang'
2022-02-05 02:53:00+00:00;syana;b'Scrolling shopeefood gofood sama grabfood ujung2 nya gapesen soalnya bingung'
2022-02-05 02:53:00+00:00;syana;b'Scrolling shopeefood gofood sama grabfood ujung2 nya gapesen soalnya bingung'
2022-02-05 02:53:00+00:00;syana;b'Scrolling shopeefood gofood sama grabfood ujung2 nya gapesen soalnya bingung'
2022-02-05 02:53:11+00:00;Hakun desu;b'@KYUN9500 @thvejm Udah gofood plus?'
2022-02-05 02:53:11+00:00;Hakun desu;b'Udah gofood plus'
2022-02-05 02:53:11+00:00;Hakun desu;b'Udah gofood plus'
2022-02-05 02:57:42+00:00;sonya.;"b'RT @terjjiunjiun: Berawal dari gofood\n\n; Jaemin short au https://t.co/DpuCSQPZeP'"
2022-02-05 02:57:42+00:00;sonya.;b'RT Berawal dari gofood Jaemin short au'
2022-02-05 02:57:42+00:00;sonya.;b'RT Berawal dari gofood Jaemin short au'
2022-02-05 02:57:50+00:00;Farah Nirmala;b'Dari semua momen di tahun 2021, ada satu momen yang paling berkesan yaitu #kejoG2021 #KasihJempol beliin keluarga m\xe2\x80\xa6 https://t.co/qh2xvVy49w'
2022-02-05 02:57:50+00:00;Farah Nirmala;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-05 02:57:50+00:00;Farah Nirmala;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-05 03:05:24+00:00;Aditya H. Nugraha;b'Gofood lah aku https://t.co/ODCbxt6p9W'
2022-02-05 03:05:24+00:00;Aditya H. Nugraha;b'Gofood lah aku'
2022-02-05 03:05:24+00:00;Aditya H. Nugraha;b'Gofood lah aku'
2022-02-05 03:08:43+00:00;deska.;b'@ubbiety coba aja cari di gofood nya.'
2022-02-05 03:08:43+00:00;deska.;b'coba aja cari di gofood nya'
2022-02-05 03:08:43+00:00;deska.;b'coba aja cari di gofood nya'
2022-02-05 03:10:01+00:00;Clauz?;b'Butuh voucher gofood lg dong yg punya sebut fee ya dan udh g+ blm #zonauang'
2022-02-05 03:10:01+00:00;Clauz?;b'Butuh voucher gofood lg dong yg punya sebut fee ya dan udh g blm zonauang'
2022-02-05 03:10:01+00:00;Clauz?;b'Butuh voucher gofood lg dong yg punya sebut fee ya dan udh g blm zonauang'
2022-02-05 03:15:42+00:00;The Girl You Used To Know;b'ter-low mood pokoknya.. \nbahan makanan habis.. males masak... gamau gofood... puasa lagi hari ini'
2022-02-05 03:15:42+00:00;The Girl You Used To Know;b'ter low mood pokoknya bahan makanan habis males masak gamau gofood puasa lagi hari ini'
2022-02-05 03:15:42+00:00;The Girl You Used To Know;b'ter low mood pokoknya bahan makanan habis males masak gamau gofood puasa lagi hari ini'
2022-02-05 03:18:01+00:00;Katadata.co.id;b'RT @databoksid: Raih Rp 109,4 triliun, GrabFood lampaui GoFood dan ShopeeFood sebagai perusahaan pesan-antar makanan dengan nilai transaksi\xe2\x80\xa6'
2022-02-05 03:18:01+00:00;Katadata.co.id;b'RT Raih Rp 109 4 triliun GrabFood lampaui GoFood dan ShopeeFood sebagai perusahaan pesan antar makanan dengan nilai transaksi'
2022-02-05 03:18:01+00:00;Katadata.co.id;b'RT Raih Rp 109 4 triliun GrabFood lampaui GoFood dan ShopeeFood sebagai perusahaan pesan antar makanan dengan nilai transaksi'
2022-02-05 03:18:34+00:00;Riz????;"b'RT @justjiikoo: ""kata nyokap ada paket gofood buat lo""\n""hah? gue ga pesen""\n""gue juga""\n""ih ntar kalo gue diracun gimana ya? yg kaya sate kem\xe2\x80\xa6'"
2022-02-05 03:18:34+00:00;Riz????;b'RT kata nyokap ada paket gofood buat lo hah gue ga pesen gue juga ih ntar kalo gue diracun gimana ya yg kaya sate kem'
2022-02-05 03:18:34+00:00;Riz????;b'RT kata nyokap ada paket gofood buat lo hah gue ga pesen gue juga ih ntar kalo gue diracun gimana ya yg kaya sate kem'
2022-02-05 03:18:56+00:00;Brian McNugget ?;b'@butiranmeses Akhirnya ngeganjel perut pake gorengan \xf0\x9f\x98\xad Ini tar kalo males keluar kayanya bakalan gofood sih \xf0\x9f\xa4\xa3'
2022-02-05 03:18:56+00:00;Brian McNugget ?;b'Akhirnya ngeganjel perut pake gorengan Ini tar kalo males keluar kayanya bakalan gofood sih'
2022-02-05 03:18:56+00:00;Brian McNugget ?;b'Akhirnya ngeganjel perut pake gorengan Ini tar kalo males keluar kayanya bakalan gofood sih'
2022-02-05 03:20:31+00:00;el;b'@rlgxg lemme guess, pacarmu dan mantannya itu udah kaya kakak-adik, keduanya enggak punya temen atau sama-sama rant\xe2\x80\xa6 https://t.co/LDlV71L9wA'
2022-02-05 03:20:31+00:00;el;b'lemme guess pacarmu dan mantannya itu udah kaya kakak adik keduanya enggak punya temen atau sama sama rant'
2022-02-05 03:20:31+00:00;el;b'lemme guess pacarmu dan mantannya itu udah kaya kakak adik keduanya enggak punya temen atau sama sama rant'
2022-02-05 03:21:19+00:00;pico;b'Semoga penyakit abis scroll menu gofood tapi akhirnya ngga jadi mesen diangkat oleh Tuhan YME'
2022-02-05 03:21:19+00:00;pico;b'Semoga penyakit abis scroll menu gofood tapi akhirnya ngga jadi mesen diangkat oleh Tuhan YME'
2022-02-05 03:21:19+00:00;pico;b'Semoga penyakit abis scroll menu gofood tapi akhirnya ngga jadi mesen diangkat oleh Tuhan YME'
2022-02-05 03:22:04+00:00;pearlnstar;b'ini beli ceker pedas ga bisa bayar pakai gopay gitu yaa, kanapa ga ada si gofood. pengen tapi males kalau harus ke sana mah'
2022-02-05 03:22:04+00:00;pearlnstar;b'ini beli ceker pedas ga bisa bayar pakai gopay gitu yaa kanapa ga ada si gofood pengen tapi males kalau harus ke sana mah'
2022-02-05 03:22:04+00:00;pearlnstar;b'ini beli ceker pedas ga bisa bayar pakai gopay gitu yaa kanapa ga ada si gofood pengen tapi males kalau harus ke sana mah'
2022-02-05 03:22:22+00:00;nela;b'@ngalamfess aku gapernah liat liat hp cwokku sampe ngecek ngecek chat atau apalah itu, pinjem paling buat foto sama\xe2\x80\xa6 https://t.co/yiTBEafuER'
2022-02-05 03:22:22+00:00;nela;b'aku gapernah liat liat hp cwokku sampe ngecek ngecek chat atau apalah itu pinjem paling buat foto sama'
2022-02-05 03:22:22+00:00;nela;b'aku gapernah liat liat hp cwokku sampe ngecek ngecek chat atau apalah itu pinjem paling buat foto sama'
2022-02-05 03:22:44+00:00;Romee Abraham;b'@YdhAdsmr @bananaredcup Itu sekali dpt bintang 1 lgsg phk kak? Atau dicek juga kinerjanya?\nPernah pesen gofood, sam\xe2\x80\xa6 https://t.co/cbSSzsbzsr'
2022-02-05 03:22:44+00:00;Romee Abraham;b'Itu sekali dpt bintang 1 lgsg phk kak Atau dicek juga kinerjanya Pernah pesen gofood sam'
2022-02-05 03:22:44+00:00;Romee Abraham;b'Itu sekali dpt bintang 1 lgsg phk kak Atau dicek juga kinerjanya Pernah pesen gofood sam'
2022-02-05 03:23:24+00:00;zero_x;b'@petiteciaaaa Gofood seinget gua bnyk promo'
